Freq.,Pulsación,w/w0,V(n001)/(-I(V1)),,Módulo,Fase [rad],Fase [°]
"1,05E+02","6,58E+02","2,09E+00","7,71E+00","1,10E+03","1098,47444703127","1,56378168801761","89,5980908032527"
"1,07E+02","6,73E+02","2,14E+00","7,04E+00","1,13E+03","1131,84705154941","1,56458041352489","89,6438544038094"
"1,10E+02","6,89E+02","2,19E+00","6,42E+00","1,17E+03","1165,78088119133","1,56528658724352","89,68431517749"
"1,12E+02","7,05E+02","2,24E+00","5,86E+00","1,20E+03","1200,29525155964","1,56591118917624","89,7201022321101"
"1,15E+02","7,21E+02","2,30E+00","5,35E+00","1,24E+03","1235,40985203745","1,56646385540965","89,751767674764"
"1,17E+02","7,38E+02","2,35E+00","4,89E+00","1,27E+03","1271,14473259312","1,56695304934383","89,7797964225562"
"1,20E+02","7,55E+02","2,40E+00","4,46E+00","1,31E+03","1307,52029483242","1,56738620999691","89,8046146998285"
"1,23E+02","7,73E+02","2,46E+00","4,07E+00","1,34E+03","1344,55728668909","1,56776988063702","89,8265974082298"
"1,26E+02","7,91E+02","2,52E+00","3,71E+00","1,38E+03","1382,27680023513","1,56810982050243","89,8460745278063"
"1,29E+02","8,09E+02","2,58E+00","3,39E+00","1,42E+03","1420,70027216788","1,56841110195823","89,8633366836693"
"1,32E+02","8,28E+02","2,64E+00","3,09E+00","1,46E+03","1459,84948659579","1,56867819509127","89,8786399929294"
"1,35E+02","8,48E+02","2,70E+00","2,82E+00","1,50E+03","1499,7465798007","1,56891504145299","89,8922102898491"
"1,38E+02","8,67E+02","2,76E+00","2,57E+00","1,54E+03","1540,41404670141","1,56912511841303","89,9042468130321"
"1,41E+02","8,88E+02","2,83E+00","2,35E+00","1,58E+03","1581,87474878449","1,56931149537763","89,9149254265025"
"1,45E+02","9,08E+02","2,89E+00","2,14E+00","1,62E+03","1624,15192330276","1,56947688294997","89,924401436381"
"1,48E+02","9,29E+02","2,96E+00","1,96E+00","1,67E+03","1667,26919357224","1,5696236759587","89,9328120562434"
"1,51E+02","9,51E+02","3,03E+00","1,78E+00","1,71E+03","1711,25058022357","1,56975399115325","89,9402785668977"
